Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Cessna,1,VMC,Taxi,1.0,0.0,0.0,Cessna — 180
Piper,,IMC,,4.0,1.0,1.0,Piper — PA-34-200T
Piper,1,VMC,Takeoff,3.0,0.0,1.0,Piper — PA-22
Piper,,VMC,,3.0,1.0,1.0,Piper — PA-31-350
Piper,,IMC,,2.0,1.0,1.0,Piper — PA-28-236
Cessna,,VMC,,2.0,1.0,1.0,Cessna — 182M
Taylorcraft,1,VMC,Maneuvering,2.0,0.0,0.0,Taylorcraft — BC12-D
Cessna,1,VMC,Descent,2.0,0.5,,Cessna — 152
Cessna,2,IMC,Maneuvering,1.0,1.0,1.0,Cessna — 402C
Piper,1,VMC,Landing,1.0,0.0,0.0,Piper — PA38
Piper,2,IMC,Takeoff,1.0,0.0,0.0,Piper — PA-601P
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — A150M
Cessna,1,IMC,Approach,1.0,1.0,0.0,Cessna — 208B
Piper,2,VMC,Standing,1.0,0.0,0.0,Piper — PA-30
Beech,,VMC,,2.0,1.0,1.0,Beech — BE-60
Cessna,1,VMC,Landing,2.0,0.5,0.0,Cessna — 150K
Cessna,1,VMC,Maneuvering,2.0,1.0,1.0,Cessna — 208B
Cessna,1,VMC,Landing,2.0,0.0,0.0,Cessna — 182R
Boeing,,VMC,,101.0,0.0,0.0,Boeing — 737-400
Boeing,4,,,0.0,,,Boeing — 747
Cessna,1,VMC,,3.0,0.0,1.0,Cessna — 208
Cessna,,VMC,,5.0,1.0,1.0,Cessna — 411
Aero Commander,2,VMC,Takeoff,4.0,0.25,0.0,Aero Commander — 690A
Cessna,,VMC,,5.0,1.0,1.0,Cessna — R172HP
Cessna,1,VMC,Maneuvering,2.0,1.0,1.0,Cessna — 172S
Maule,1,VMC,Landing,1.0,0.0,0.0,Maule — M-5-235C
Cessna,1,VMC,Landing,1.0,0.0,0.0,Cessna — 172S
Cessna,1,VMC,Landing,4.0,0.0,0.0,Cessna — 190
Cessna,1,VMC,Cruise,3.0,0.0,0.0,Cessna — 182P
Boeing,1,VMC,Landing,2.0,0.0,0.0,Boeing — A75N1
